,activity_id,team_id,type,date,team_name,home_away,rotated_session,data_saved,stats_saved
0,1879,8,official,20200101,anonymous,H,2,1,1
1,1882,127,official,20200101,anonymous,A,2,1,1
2,1888,123,official,20200101,anonymous,H,1,1,1
3,1889,11,official,20200101,anonymous,H,1,1,1
4,1949,123,official,20200101,anonymous,A,1,1,1
5,1947,127,official,20200101,anonymous,H,2,1,1
6,2016,93,official,20200101,anonymous,A,2,1,1
7,1958,11,official,20200101,anonymous,A,1,1,1
8,1961,40,official,20200101,anonymous,H,1,1,1
9,1952,8,official,20200101,anonymous,A,2,1,1
10,2073,11,official,20200101,anonymous,H,1,1,1
11,2071,127,official,20200101,anonymous,H,2,1,1
12,2105,93,official,20200101,anonymous,H,2,1,1
13,2111,40,official,20200101,anonymous,H,1,1,1
14,2104,8,official,20200101,anonymous,A,1,1,1
15,2226,8,official,20200101,anonymous,H,2,1,1
16,2228,11,official,20200101,anonymous,H,1,1,1
17,2233,40,official,20200101,anonymous,A,2,1,1
18,2235,123,official,20200101,anonymous,H,1,1,1
19,2238,127,official,20200101,anonymous,A,1,1,1
20,2253,11,official,20200101,anonymous,A,1,1,1
21,2272,40,official,20200101,anonymous,H,1,1,1
22,2309,123,official,20200101,anonymous,H,1,1,1
23,2308,11,official,20200101,anonymous,H,1,1,1
24,2306,127,official,20200101,anonymous,A,2,1,1
25,2310,8,official,20200101,anonymous,A,1,1,1
26,2405,40,official,20200101,anonymous,H,1,1,1
27,2373,123,official,20200101,anonymous,A,2,1,1
28,2374,40,official,20200101,anonymous,A,1,1,1
29,2372,127,official,20200101,anonymous,H,2,1,1
30,2541,93,official,20200101,anonymous,A,2,1,1
31,2386,11,official,20200101,anonymous,A,2,1,1
32,2384,8,official,20200101,anonymous,A,1,1,1
33,2601,40,official,20200101,anonymous,A,1,1,1
34,2605,127,official,20200101,anonymous,A,1,1,1
35,2585,8,official,20200101,anonymous,H,2,1,1
36,2589,123,official,20200101,anonymous,A,1,1,1
37,2587,11,official,20200101,anonymous,H,1,1,1
38,2616,93,official,20200101,anonymous,H,2,1,1
39,2658,40,official,20200101,anonymous,H,1,1,1
40,2669,123,official,20200101,anonymous,H,1,1,1
41,2725,93,official,20200101,anonymous,H,2,1,1
42,2656,11,official,20200101,anonymous,A,2,1,1
43,2662,127,official,20200101,anonymous,A,2,1,1
44,2657,8,official,20200101,anonymous,H,2,1,1
45,2771,123,official,20200101,anonymous,H,1,1,1
46,2890,93,official,20200101,anonymous,H,0,1,1
47,2753,127,official,20200101,anonymous,H,2,1,1
48,2839,123,official,20200101,anonymous,A,2,1,1
49,2799,40,official,20200101,anonymous,H,1,1,1
50,2795,8,official,20200101,anonymous,A,2,1,1
51,2889,93,official,20200101,anonymous,H,1,1,1
52,2806,11,official,20200101,anonymous,A,2,1,1
53,2809,127,official,20200101,anonymous,H,2,1,1
54,3022,93,official,20200101,anonymous,A,2,1,1
55,2977,11,official,20200101,anonymous,H,1,1,1
56,3001,40,official,20200101,anonymous,A,1,1,1
57,3023,127,official,20200101,anonymous,A,2,1,1
58,3034,123,official,20200101,anonymous,H,1,1,1
59,2995,8,official,20200101,anonymous,H,2,1,1
60,3196,123,official,20200101,anonymous,H,1,1,1
61,3203,127,official,20200101,anonymous,A,2,1,1
62,3172,8,official,20200101,anonymous,A,2,1,1
63,3177,11,official,20200101,anonymous,A,1,1,1
